"","year_built","zone","total_value","tax_district","area","parcel_id","bldg_value","land_value","deed_date","prior","tax_year","land_use_code","lci"
"11329","1969.000000","PLI",0,"001",1585780.163748,"00509102000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"11331","1980.000000","PLI",0,"001",823050.281079,"00509107000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"11385","2012.000000","R3",2513700,"001",137013.61044,"00511166000",1937900,575800,"2012-01-03T00:00:00","{ ""2009"": { ""zone"": ""R3"", ""total_value"": 2513700, ""tax_district"": ""001"", ""bldg_value"": 1937900, ""land_value"": 575800, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""R3"", ""total_value"": 2513700, ""tax_district"": ""001"", ""bldg_value"": 1937900, ""land_value"": 575800, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""R3"", ""total_value"": 2513700, ""tax_district"": ""001"", ""bldg_value"": 1937900, ""land_value"": 575800, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"11419","1980.000000","PLI",0,"001",324210.254718,"00511328000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"11940","1980.000000","T",0,"001",461190.966798,"00517101000",0,0,NA,"{ ""2009"": { ""zone"": ""T"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""T"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""T"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"12594","1980.000000","PLI",0,"003",434584.296572,"00605219000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"13253","1980.000000","PLI",0,"001",414630.31065,"00608101000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""001"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"13769","1980.000000","PLI",0,"003",378684.716845,"00610401000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
"15018","1968.000000","B1A",945600,"003",31619.589273,"00617604000",495500,450100,"1991-09-17T00:00:00","{ ""2009"": { ""zone"": ""B1A"", ""total_value"": 945600, ""tax_district"": ""003"", ""bldg_value"": 495500, ""land_value"": 450100, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""B1A"", ""total_value"": 945600, ""tax_district"": ""003"", ""bldg_value"": 495500, ""land_value"": 450100, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""B1A"", ""total_value"": 945600, ""tax_district"": ""003"", ""bldg_value"": 495500, ""land_value"": 450100, ""land_use_code"": ""DAY CARE CENTER"", ""lci"": ""Com"" } }","2014","DAY CARE CENTER","Com"
"15617","1980.000000","PLI",0,"003",332433.210411,"00621802000",0,0,NA,"{ ""2009"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2006"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" }, ""2012"": { ""zone"": ""PLI"", ""total_value"": 0, ""tax_district"": ""003"", ""bldg_value"": 0, ""land_value"": 0, ""land_use_code"": ""SCHOOL"", ""lci"": ""Com"" } }","2014","SCHOOL","Com"
